"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","type","lat","lon"
"","Canberra City","Fiction Bar, 50 Bunda Street, Canberra City","7 Aug 2021","9:00pm","11:59pm","Close Contacts","Close Contacts ",-35.2778169,149.1316294
"","Canberra City","Fiction Bar, 50 Bunda Street, Canberra City","8 Aug 2021","12:00am","4:45am","Close Contacts","Close Contacts ",-35.2778169,149.1316294
"","Woden","Church of Pentecost, 19B Irving Street","8 Aug 2021","10:30am","1:00pm","Close Contacts","Close Contacts ",-35.3375595,149.0865906
"","Fyshwick","Freedom Furniture, Canberra Outlet Centre, Shop 27, 337 Canberra Avenue","8 Aug 2021","2:00pm","2:20pm","Close Contacts","Close Contacts ",-35.3367379,149.1786827
"","Fyshwick","JB HiFi, Canberra Outlet Centre, Shop t26, 337 Canberra Avenue","8 Aug 2021","2:15pm","2:55pm","Close Contacts","Close Contacts ",-35.3366103,149.1783856
"","Fyshwick","TK Maxx, Canberra Outlet Centre, 337 Canberra Avenue","8 Aug 2021","3:10pm","3:40pm","Close Contacts","Close Contacts ",-35.3367379,149.1786827
"","Fyshwick","Windsor Smith, Canberra Outlet Centre, T103/337 Canberra Avenue","8 Aug 2021","2:45pm","3:15pm","Close Contacts","Close Contacts ",-35.3367379,149.1786827
"","Braddon","Assembly The People’s Pub, 11 Lonsdale Street","8 Aug 2021","8:00pm","9:00pm","Close Contacts","Close Contacts ",-35.2743976,149.1322968
"","Downer","Downer Community Centre, 6 Frencham Place","8 Aug 2021","1:00pm","6:00pm","Close Contacts","Close Contacts ",-35.2448948,149.1445996
"","Fyshwick","Stockade Training Centre, 7 Kembla Street","9 Aug 2021","7:30am","1:00pm","Close Contacts","Close Contacts ",-35.325788,149.1779729
"","Nicholls","Gold Creek School (including early childhood learning), Kelleway AvenueFAQs for schools","9 Aug 2021","8:25am","5:00pm","Close Contacts","Close Contacts ",-35.1812815,149.1004454
"","Lyneham","Lyneham High School - Goodwin StreetFAQs for schools","9 Aug 2021","8:30am","3:30pm","Close Contacts","Close Contacts ",-35.2524674,149.130518
"","Public Transport","Bus Route 30 – Dickson to Kaleen - Stops Cowper Street Dickson to Kaleen High School","9 Aug 2021","3:43pm","4:10pm","Close Contacts","Close Contacts ",-35.2548139,149.1389487
"","Phillip","Lennock Jaguar Land Rover, 126 Melrose Drive","9 Aug 2021","8:30am","5:30pm","Close Contacts","Close Contacts ",-35.356842,149.0891491
"","Mawson","Al Manoosh Bakery, 47 Mawson Place","9 Aug 2021","12 noon","1:00pm","Close Contacts","Close Contacts ",-35.3654919,149.0949976
"","Kaleen","Instrumental Music Program Rehearsal Room, UC High School Kaleen- Baldwin Street","9 Aug 2021","4:00pm","6:00pm","Close Contacts","Close Contacts ",-35.225262,149.100475
"","Phillip","Club Lime, Lower Ground Floor, Bonner House, Bradley Street","9 Aug 2021","5:30pm","7:30pm","Close Contacts","Close Contacts ",-35.3460021,149.0875902
"","Nicholls","Gold Creek School (including early childhood learning), Kelleway AvenueFAQs for schools","10 Aug 2021","8:00am","3:10pm","Close Contacts","Close Contacts ",-35.1812815,149.1004454
"","Fyshwick","Pellegrino’s Café, 7/49 Wollongong Street","10 Aug 2021","7:15am","8:15am","Close Contacts","Close Contacts ",-35.3247984,149.1794654
